[2026-06-19T23:55:47.732Z] GET http://localhost:5174/ → 200 (25ms, 1123B)
[2026-06-19T23:55:47.767Z] GET http://localhost:5174/@vite/client → 200 (158ms, 137703B)
[2026-06-19T23:55:47.767Z] GET https://fonts.googleapis.com/css2?family=Noto+Serif+KR:wght@300;400;500;600;700&display=swap → 200 (402ms, 116478B)
[2026-06-19T23:55:47.767Z] GET https://cdn.jsdelivr.net/gh/orioncactus/pretendard@v1.3.9/dist/web/variable/pretendardvariable.min.css → 200 (119ms, 1128B)
[2026-06-19T23:55:47.767Z] GET http://localhost:5174/src/main.jsx → 200 (148ms, 2108B)
[2026-06-19T23:55:47.773Z] GET http://localhost:5174/@react-refresh → 200 (146ms, 117548B)
[2026-06-19T23:55:47.916Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=5c65b222 → 200 (124ms, 36963B)
[2026-06-19T23:55:47.916Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=5c65b222 → 200 (122ms, 155B)
[2026-06-19T23:55:47.916Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=1137c228 → 200 (123ms, 1054B)
[2026-06-19T23:55:47.916Z] GET http://localhost:5174/src/App.jsx → 200 (71ms, 153096B)
[2026-06-19T23:55:47.916Z] GET http://localhost:5174/src/App.css → 200 (56ms, 20671B)
[2026-06-19T23:55:47.925Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 200 (48ms, 4021B)
[2026-06-19T23:55:48.038Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-REFQX4J5.js?v=8249eec1 → 200 (4ms, 77956B)
[2026-06-19T23:55:48.039Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-373CG7ZK.js?v=8249eec1 → 200 (25ms, 928023B)
[2026-06-19T23:55:48.645Z] GET https://cdn.jsdelivr.net/gh/orioncactus/pretendard@v1.3.9/packages/pretendard/dist/web/variable/woff2/PretendardVariable.woff2 → 200 (695ms, 2060410B)
[2026-06-19T23:55:48.645Z] GET https://fonts.gstatic.com/s/notoserifkr/v31/3Jn7SDn90Gmq2mr3blnHaTZXduVp0uNzcmdRk6NBSYsXpcC_HIoOgGv0PTY.117.woff2 → 200 (621ms, 36548B)
[2026-06-19T23:55:48.645Z] GET https://fonts.gstatic.com/s/notoserifkr/v31/3Jn7SDn90Gmq2mr3blnHaTZXduVp0uNzcmdRk6NBSYsXpcC_HIoOgGv0PTY.118.woff2 → 200 (476ms, 31638B)
[2026-06-19T23:55:48.646Z] GET https://fonts.gstatic.com/s/notoserifkr/v31/3Jn7SDn90Gmq2mr3blnHaTZXRudj1cFxOHU.woff2 → 200 (602ms, 34868B)
[2026-06-19T23:55:48.646Z] GET https://fonts.gstatic.com/s/notoserifkr/v31/3Jn7SDn90Gmq2mr3blnHaTZXduVp0uNzcmdRk6NBSYsXpcC_HIoOgGv0PTY.110.woff2 → 200 (550ms, 43432B)
[2026-06-19T23:55:48.646Z] GET https://fonts.gstatic.com/s/notoserifkr/v31/3Jn7SDn90Gmq2mr3blnHaTZXduVp0uNzcmdRk6NBSYsXpcC_HIoOgGv0PTY.119.woff2 → 200 (702ms, 24050B)
[2026-06-19T23:55:48.646Z] GET https://fonts.gstatic.com/s/notoserifkr/v31/3Jn7SDn90Gmq2mr3blnHaTZXduVp0uNzcmdRk6NBSYsXpcC_HIoOgGv0PTY.116.woff2 → 200 (703ms, 39146B)
[2026-06-19T23:55:48.646Z] GET https://fonts.gstatic.com/s/notoserifkr/v31/3Jn7SDn90Gmq2mr3blnHaTZXduVp0uNzcmdRk6NBSYsXpcC_HIoOgGv0PTY.115.woff2 → 200 (695ms, 38792B)
[2026-06-19T23:55:48.646Z] GET https://fonts.gstatic.com/s/notoserifkr/v31/3Jn7SDn90Gmq2mr3blnHaTZXduVp0uNzcmdRk6NBSYsXpcC_HIoOgGv0PTY.114.woff2 → 200 (649ms, 40284B)
[2026-06-19T23:56:21.768Z] GET https://fonts.gstatic.com/s/notoserifkr/v31/3Jn7SDn90Gmq2mr3blnHaTZXduVp0uNzcmdRk6NBSYsXpcC_HIoOgGv0PTY.112.woff2 → 200 (69ms, 41267B)
[2026-06-19T23:56:21.768Z] GET https://maps.google.com/maps?q=Pinnacles%20Desert%20Nambung%20National%20Park&z=13&output=embed → 301 (462ms, ?B)
[2026-06-19T23:56:22.230Z] GET https://www.google.com/maps/embed?origin=mfe&pb=!1m3!2m1!1sPinnacles+Desert+Nambung+National+Park!6i13 → pending (?ms, ?B)
[2026-06-19T23:56:22.927Z] GET https://maps.gstatic.com/maps-api-v3/embed/js/65/5e/init_embed.js → pending (?ms, ?B)
[2026-06-19T23:56:22.927Z] GET https://maps.googleapis.com/maps/api/js?key=AIzaSyCmL18misQw9KdwqGaw3zHkitj8vG6QF2Y&paint_origin=&libraries=geometry,search&v=weekly&loading=async&language=en_US&experimentation=allowed&callback=onApiLoad → pending (?ms, ?B)
[2026-06-19T23:56:23.882Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/5e/geometry.js → pending (?ms, ?B)
[2026-06-19T23:56:23.882Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/5e/search.js → pending (?ms, ?B)
[2026-06-19T23:56:23.882Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/5e/main.js → pending (?ms, ?B)
[2026-06-19T23:56:27.500Z] GET https://maps.googleapis.com/maps/api/mapsjs/gen_204?csp_test=true → pending (?ms, ?B)
[2026-06-19T23:56:27.520Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/5e/common.js → pending (?ms, ?B)
[2026-06-19T23:56:27.520Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/5e/util.js → pending (?ms, ?B)
[2026-06-19T23:56:27.520Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/5e/map.js → pending (?ms, ?B)
[2026-06-19T23:56:27.520Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/5e/controls.js → pending (?ms, ?B)
[2026-06-19T23:56:27.520Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/5e/places_impl.js → pending (?ms, ?B)
[2026-06-19T23:56:27.520Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/5e/places.js → pending (?ms, ?B)
[2026-06-19T23:56:27.523Z] GET https://maps.googleapis.com/maps/api/js/StaticMapService.GetMapImage?1m2&1i1719202&2i1235808&2e1&3u13&4m2&1u438&2u200&5m6&1e0&5sen-US&6sus&10b1&12b1&14i47083502&8e1&key=AIzaSyCmL18misQw9KdwqGaw3zHkitj8vG6QF2Y&token=116550 → pending (?ms, ?B)
